Punto_inicial ,Ronda_2,Ronda_3,Punto_inicial_b ,Ronda_5,Ronda_6,Ronda_7,Ronda_8,Ronda_9 
SG,SG,SG,SG,SG,SG,SG,SG,SG
SL,SL,SL,SL,SL,SL,SL,SL,SL
BG,BG,BG,BG,BG,BG,BG,BG,BG
BL,BL,BL,BL,BL,BL,BL,BL,BL
PG,PG,PG,PG,PG,PG,PG,PG,PG
PL,PL,PL,PL,PL,PL,PL,PL,PL
CG,CG,CG,CG,CG,CG,CG,CG,CG
CL,CL,CL,CL,CL,CL,CL,CL,CL
SG,PG,CL,SG ,PL ,PL,No,No,No
BG,PL,PG,SG ,BG ,CL,BG,SG,CG
SL ,SG, CG,SG ,PG,CG,No,No,No
CG ,PL,BG,SL,SL,No,No,No,No
BL,BG,SG,SL,SG,BG,SG,SL,BG
CL,SG,PL,SL,PL ,SG,PL,SG,PL
BL,SG,PL,SL,SG,PL,SG,BL,BL
CG ,PL,SG,BG,PG,CL,CG,PL,SG
SG,PL,PG,SG ,BG ,PL,SG,PL,SG
CG ,BG,SG,BG,CG,PG,CG,BG,CG
CG ,PL,PG,SG ,PG,BG,No,No,No
BG ,PG,CG,BL,No,No,No,No,No
PL,PG,SL,SL,SG,PL,SL,PL,PG
PG,SG,BG ,CG,BG ,PG,SG,PG ,SG
SG ,PL,PG,PG,SG,CL,CL,CG,CL
PG ,SG,CL,PG,CL,SL,No,No,No
PL,PG,CG,PL,SG ,BG,SG, CG,SL
PG,CG,BG,PL,No,No,No,No,No
SG ,PL,BL,CL,SL,SL,CG,BG,SL
BG,SG,PL,SG ,PL ,CL,SG,SL,CG
SL ,PG,CL, SL,SL,CG,SL ,BG,CL
CG ,PL,PG,SL,SG,PG,PL,BL,CG
BG,PL,CG,SL,CG,BG,CG,BG,CG
CG ,SL,SG,SL,CL,No,No,No,No
SG,PG,CL,CG,SG,PL,SG,PL,CG
PG,CL,SG,SL,PG,BL,CH,SG,SG
SG,PG,BG,CG,PG,BG,SG,PL,CG
CG,PL,SG,CG,PL ,BG,CG,BG,CG
CG,PL,SG,SG ,PL ,BG,CG,CG ,SG
SG ,BG,CG,PG,BG ,SG,SG,SG,SG
SG,PG,BG,SL,No,No,No,No,No
CG,PL,CG,CL,CG,SG,SG ,SG,PG
PL,CG,SG,SL,CG,BG,SG,SG,CL
SG,PG,BG,SL,No,No,No,No,No
CL,PG,SG,SG ,PG,CL,SG,PG ,CL
CG,SG,PL,SG ,PG,CG,No,No,No
SG,PG,CG,PG,CG,SG,SG,SG,SL
SG,PG,BL,BG,SG,PL,SG,CG,BL
SG,PL,SG,SG ,PG,BL,CG,BG,PG
PG,SL,CL,SG ,PL ,PL,SG ,BG,BL
SG,PG,CL,SG ,PG,CG,No,No,No
CG,BG,PL,SG , PG,CL,SG,CL,BG
SG,CG, PL,PG,SG,CG,No,No,No
SG,CL ,PG,SG ,CL,BL,No,No,No
SG,PG,CG ,SL,No,No,No,No,No
CG,PL,PG,SG ,PG,BG,SG,PL,CG
